Wall time,Step,Value
1735480089,2381,0.687712729
1735480094,2391,0.69547087
1735480100,2401,0.644361019
1735480105,2411,0.663225174
1735480110,2421,0.666180193
1735480115,2431,0.668355823
1735480120,2441,0.649214089
1735480125,2451,0.64421767
1735480130,2461,0.699562192
1735480136,2471,0.686127126
1735480141,2481,0.673434138
1735480146,2491,0.690325558
1735480151,2501,0.666328847
1735480156,2511,0.639752567
1735480161,2521,0.678888142
1735480166,2531,0.669031978
1735480171,2541,0.672640264
1735480177,2551,0.687431931
1735480182,2561,0.70950824
1735480187,2571,0.680661023
1735480192,2581,0.68299824
1735480197,2591,0.708110332
1735480203,2601,0.68279314
1735480208,2611,0.679607213
1735480213,2621,0.644820988
1735480218,2631,0.647963285
1735480223,2641,0.707560122
1735480228,2651,0.664527237
1735480233,2661,0.677590907
1735480238,2671,0.666424334
1735480243,2681,0.64314878
1735480249,2691,0.684511721
1735480254,2701,0.678593516
1735480259,2711,0.668409169
1735480264,2721,0.689435005
1735480269,2731,0.698955297
1735480273,2741,0.643474936
1735480278,2751,0.689477682
1735480283,2761,0.669686317
1735480288,2771,0.667726815
1735480293,2781,0.690028608
1735480298,2791,0.69960165
1735480304,2801,0.675920188
1735480309,2811,0.696781039
1735480314,2821,0.694871128
1735480319,2831,0.693087816
1735480325,2841,0.652293026
1735480330,2851,0.673570454
1735480335,2861,0.699542284
1735480340,2871,0.641123414
1735480345,2881,0.698874593
1735480350,2891,0.646043479
1735480355,2901,0.700202525
1735480360,2911,0.671060026
1735480366,2921,0.679450631
1735480371,2931,0.684779227
1735480376,2941,0.687473297
1735480381,2951,0.6795609
1735480386,2961,0.652239919
1735480392,2971,0.671680093
1735480397,2981,0.658743858
1735480402,2991,0.710502326
1735480407,3001,0.669148147
1735480412,3011,0.696198702
1735480417,3021,0.680579066
1735480422,3031,0.674893379
1735480427,3041,0.685895443
1735480432,3051,0.698183537
1735480437,3061,0.702856839
1735480442,3071,0.69878906
1735480447,3081,0.73194617
